key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
114539-2018-4300620,04300620,2018,7,8,2,light_injured,turn_in,True,52.513239685818654,13.332817561989764,043006,0430,04,4.989026472497557
114541-2018-1401044,01401044,2018,7,14,5,seriously_injured,other,False,52.548448746945745,13.369199437154894,014010,0140,01,4.091698926142739
114546-2018-1100310,01100310,2018,11,19,4,light_injured,other,False,52.516430456038734,13.408797456015883,011003,0110,01,0.37118796857927466
114547-2018-3601142,03601142,2018,9,19,5,light_injured,turn_in,False,52.54609890861431,13.41314121065165,036011,0360,03,3.0398170502080175
114548-2018-3601347,03601347,2018,8,16,3,light_injured,other,False,52.54077241110614,13.414638333951622,036013,0360,03,2.480378012020677
114552-2018-7601442,07601442,2018,5,12,4,light_injured,other,False,52.417642797174615,13.399584268570488,076014,0760,07,11.304518555654218
114556-2018-7200411,07200411,2018,11,9,7,light_injured,other,False,52.489700532100116,13.359743064255142,072004,0720,07,4.524733099706653
114562-2018-3701660,03701660,2018,7,20,2,light_injured,turn_in,False,52.53327756489627,13.429441977512342,037016,0370,03,2.2517706362859915
114569-2018-2400625,02400625,2018,11,18,6,seriously_injured,turn_in,False,52.50344573787068,13.447440842428154,024006,0240,02,3.332263564589166
114570-2018-12500930,12500930,2018,9,15,6,light_injured,other,False,52.58602935590597,13.341506620314616,125009,1250,12,8.619760757138998
